,7532725,158589
BMXZ,161,4
BMY,1350,37
BMZ,1486,43
BN,88773,2496
BNN,7767,271
BNNO,204,9
BNNP,195,10
BNNQ,925,38
BNNR,1228,47
BNNS,63,4
BNNT,702,33
BNNU,270,12
BNNV,585,31
BNNW,367,14
BNNX,266,9
BNNY,122,5
BNNZ,298,14
BNO,8871,250
BNOO,280,8
BNOP,98,5
BNOQ,535,19
BNOR,425,18
BNOS,88,3
BNOT,361,15
BNOU,270,9
BNOV,458,16
BNOW,112,5
BNOX,222,6
BNOY,259,9
BNOZ,86,5
BNP,6467,216
BNPQ,591,24
BNPR,975,33
BNPS,106,4
BNPT,553,22
BNPU,121,5
BNPV,771,26
BNPW,400,17
BNPX,41,2
BNPY,188,5
BNPZ,280,12
BNQ,15398,534
BNQR,1652,68
BNQS,524,20
BNQT,1752,67
BNQU,337,15
BNQV,1563,62
BNQW,585,24
BNQX,160,9
BNQY,89,3
BNQZ,975,35
BNR,17110,547
BNRR,780,32
BNRS,470,14
BNRT,2460,92
BNRU,499,16
BNRV,1993,80
BNRW,1073,38
BNRX,837,24
BNRY,180,9
BNRZ,1119,42
BNS,5315,144
BNSS,72,2
BNST,359,12
BNSU,93,3
BNSV,253,9
BNSW,305,9
BNSX,41,1
BNSY,42,1
BNSZ,121,4
BNT,17379,577
BNTT,1006,39
BNTU,639,20
BNTV,1588,62
BNTW,1231,50
BNTX,574,23
BNTY,260,11
BNTZ,796,27
BNU,7360,224
BNUV,806,32
BNUW,498,19
BNUX,166,6
BNUY,237,7
BNUZ,196,5
BNV,12621,443
BNVW,635,31
BNVX,747,24
BNVY,504,16
BNVZ,705,28
BNW,6151,208
BNWX,437,15
BNWY,141,4
BNWZ,221,7
BNX,4560,127
BNXY,223,4
BNXZ,288,9
BNY,3898,102
BNYZ,101,4
BNZ,5526,174
BO,53696,1310
BOO,4924,135
BOOO,91,2
BOOP,74,1
BOOQ,103,4
BOOR,330,9
BOOS,28,1
BOOT,127,5
BOOU,210,6
BOOV,93,3
BOOW,69,3
BOOX,133,3
BOOY,59,1
BOOZ,4,1
BOP,2611,70
BOPQ,110,3
BOPR,121,5
BOPT,352,11
BOPU,182,4
BOPV,134,4
BOPW,53,2
BOPX,59,2
BOPY,41,2
BOPZ,66,2
BOQ,8220,245
BOQR,417,13
BOQS,80,3
BOQT,223,7
BOQU,384,12
BOQV,278,11
BOQW,61,2
BOQX,23,2
BOQY,101,4
BOQZ,175,7
BOR,8406,214
BORR,311,8
BORS,40,2
BORT,558,17
BORU,212,8
BORV,344,10
BORW,177,5
BORX,114,4
BORY,203,6
BORZ,224,7
BOS,1773,43
BOSS,85,2
BOST,23,1
BOSU,69,1
BOSV,51,2
BOSW,26,1
BOSY,9,1
BOT,7388,201
BOTT,48,4
BOTU,316,10
BOTV,311,10
BOTW,433,10
BOTX,126,3
BOTY,178,4
BOTZ,168,4
BOU,5613,159
BOUV,288,12
BOUW,113,3
BOUY,41,1
BOUZ,146,5
BOV,6976,204
BOVW,144,4
BOVX,38,1
BOVZ,70,2
BOW,2949,81
BOWX,75,3
BOWY,42,1
BOWZ,6,1
BOX,1380,40
BOXZ,93,2
BOY,2204,58
BOZ,2314,62
BP,26276,703
BPQ,4214,132
BPQR,543,21
BPQS,114,3
BPQT,498,21
BPQU,84,4
BPQV,253,14
BPQW,281,10
BPQX,152,4
BPQZ,406,14
BPR,5352,173
BPRR,179,7
BPRS,281,9
BPRT,566,20
BPRU,221,8
BPRV,348,16
BPRW,230,8
BPRX,38,1
BPRY,124,5
BPRZ,294,11
BPS,1437,38
BPSS,42,1
BPST,50,2
BPSU,11,1
BPSV,214,9
BPSX,99,2
BPSY,40,1
BPSZ,54,1
BPT,4525,142
BPTT,252,7
BPTU,73,2
BPTV,264,9
BPTW,354,10
BPTX,181,6
BPTY,158,5
BPTZ,115,3
BPU,2434,71
BPUV,182,8
BPUX,28,1
BPUY,14,1
BPUZ,33,1
BPV,3995,126
BPVW,107,4
BPVX,105,3
BPVZ,199,9
BPW,2435,71
BPWX,31,2
BPWY,81,3
BPWZ,136,6
BPX,1013,30
BPXY,29,2
BPXZ,114,3
BPY,1168,29
BPYZ,57,2
BPZ,2241,62
BQ,76758,2254
BQR,12350,420
BQRR,645,22
BQRS,485,17
BQRT,1362,52
BQRU,353,13
BQRV,1182,42
BQRW,693,22
BQRX,340,12
BQRY,363,9
BQRZ,611,21
BQS,4580,125
BQSS,91,3
BQST,342,10
BQSU,63,2
BQSV,255,11
BQSW,147,4
BQSX,87,4
BQSZ,54,3
BQT,11735,392
BQTT,620,22
BQTU,325,13
BQTV,1446,64
BQTW,715,23
BQTX,281,10
BQTY,210,7
BQTZ,210,9
BQU,5171,156
BQUV,206,9
BQUW,160,7
BQUX,215,6
BQUY,129,4
BQUZ,55,2
BQV,10988,365
BQVW,374,16
BQVX,241,7
BQVY,164,7
BQVZ,936,29
BQW,4942,153
BQWX,158,7
BQWZ,256,9
BQX,2686,79
BQXY,50,1
BQXZ,273,8
BQY,2688,80
BQYZ,26,3
BQZ,4914,155
BR,64494,1720
BRR,5057,172
BRRS,60,2
BRRT,749,31
BRRU,135,5
BRRV,464,24
BRRW,264,12
BRRX,138,6
BRRY,111,5
BRRZ,176,8
BRS,3097,84
BRSS,59,1
BRST,112,4
BRSU,39,2
BRSV,222,7
BRSW,151,5
BRSX,44,2
BRSY,50,1
BRSZ,121,4
BRT,12964,398
BRTT,669,27
BRTU,638,19
BRTV,1269,49
BRTW,747,29
BRTX,612,24
BRTY,178,7
BRTZ,685,24
BRU,6665,187
BRUV,361,15
BRUW,208,8
BRUX,29,1
BRUY,98,3
BRUZ,218,8
BRV,10235,342
BRVW,481,15
BRVX,449,18
BRVY,247,7
BRVZ,646,24
BRW,4691,136
BRWX,160,8
BRWY,227,6
BRWZ,178,8
BRX,2389,73
BRXY,94,3
BRXZ,340,10
BRY,2952,86
BRYZ,150,7
BRZ,4209,132
BS,21817,498
BSS,347,8
BSST,111,3
BSSW,10,1
BST,3782,101
BSTT,177,4
BSTU,189,5
BSTV,471,14
BSTW,318,10
BSTX,14,1
BSTY,26,1
BSTZ,97,2
BSU,2028,44
BSUV,185,6
BSUX,29,1
BSUY,37,1
BSV,2868,86
BSVW,87,3
BSVX,20,1
BSVY,31,1
BSVZ,69,2
BSW,1215,32
BSWY,12,1
BSWZ,32,1
BSX,433,12
BSXY,119,2
BSXZ,28,1
BSY,784,18
BSYZ,22,1
BSZ,1779,39
BT,68064,1864
BTT,5099,166
BTTU,247,9
BTTV,491,19
BTTW,279,9
BTTX,253,8
BTTY,103,4
BTTZ,59,2
BTU,5672,165
BTUV,342,12
BTUW,195,7
BTUX,184,6
BTUY,41,1
BTUZ,141,5
BTV,11425,391
BTVW,561,21
BTVX,380,13
BTVY,315,10
BTVZ,697,27
BTW,5059,152
BTWX,212,8
BTWY,86,3
BTWZ,361,14
BTX,3142,93
BTXY,82,3
BTXZ,302,10
BTY,3189,88
BTYZ,137,3
BTZ,4750,146
BU,38459,1025
BUV,5241,170
BUVW,128,6
BUVX,119,4
BUVY,50,2
BUVZ,88,4
BUW,1821,57
BUWX,78,2
BUWZ,206,5
BUX,1182,34
BUXZ,101,3
BUY,1654,41
BUYZ,18,1
BUZ,1711,57
BV,53065,1540
BVW,3372,106
BVWX,113,7
BVWY,187,5
BVWZ,169,5
BVX,2329,73
BVXY,56,2
BVXZ,45,3
BVY,2402,65
BVYZ,228,6
BVZ,4654,148
BW,24813,633
BWX,1174,35
BWXY,47,1
BWY,1283,34
BWZ,1515,50
BX,14554,381
BXY,524,15
BXYZ,43,2
BXZ,1203,35
BY,16560,404
BYZ,1008,28
BZ,20837,559
C,289252,6767
CD,33116,936
CDE,3510,98
CDEE,149,6
CDEF,50,2
CDEG,216,8
CDEI,79,4
CDEJ,137,3
CDEK,87,4
CDEL,218,10
CDEM,95,3
CDEN,215,10
CDEO,241,5
CDEP,140,5
CDEQ,354,11
CDER,492,15
CDES,69,2
CDET,256,8
CDEU,159,4
CDEV,256,7
CDEW,118,5
CDEX,61,2
CDEY,97,3
CDF,2655,81
CDFG,170,7
CDFH,110,3
CDFI,267,6
CDFJ,197,8
CDFK,128,5
CDFL,233,6
CDFM,180,6
CDFN,531,18
CDFP,211,8
CDFQ,314,18
CDFR,249,10
CDFS,69,3
CDFT,401,14
CDFU,80,3
CDFV,373,15
CDFW,210,7
CDFX,93,2
CDFY,93,4
CDFZ,201,7
CDG,5645,189
CDGH,87,4
CDGI,120,3
CDGJ,505,18
CDGK,225,7
CDGL,619,22
CDGM,212,6
CDGN,776,33
CDGO,232,8
CDGP,372,12
CDGQ,698,31
CDGR,666,27
CDGS,153,5
CDGT,489,21
CDGU,262,9
CDGV,799,30
CDGW,175,7
CDGX,215,7
CDGY,40,1
CDGZ,362,12
CDH,1200,38
CDHJ,216,6
CDHK,55,2
CDHL,150,6
CDHM,97,3
CDHN,229,7
CDHO,39,1
CDHP,79,3
CDHQ,187,6
CDHR,154,7
CDHT,46,2
CDHU,151,4
CDHV,120,5
CDHY,64,2
CDHZ,44,1
CDI,6785,194
CDII,253,9
CDIJ,192,6
CDIK,92,5
CDIL,327,10
CDIM,110,4
CDIN,589,22
CDIO,216,8
CDIP,194,7
CDIQ,558,19
CDIR,637,21
CDIS,60,2
CDIT,151,10
CDIU,314,12
CDIV,489,15
CDIW,48,2
CDIX,74,2
CDIY,208,6
CDIZ,44,1
CDJ,4267,135
CDJK,132,5
CDJL,256,8
CDJM,377,11
CDJN,672,22
CDJO,211,6
CDJP,61,3
CDJQ,368,17
CDJR,589,22
CDJS,20,1
CDJT,615,23
CDJU,168,7
CDJV,541,25
CDJW,320,11
CDJX,106,4
CDJY,179,6
CDJZ,251,8
CDK,1984,60
CDKL,206,6
CDKM,60,3
CDKN,416,14
CDKO,132,4
CDKP,38,2
CDKQ,336,12
CDKR,426,15
CDKT,337,14
CDKU,16,1
CDKV,197,7
CDKW,109,3
CDKX,114,5
CDKY,51,2
CDKZ,96,4
CDL,4530,146
CDLM,381,13
CDLN,707,36
CDLO,122,6
CDLP,305,10
CDLQ,573,26
CDLR,1146,43
CDLS,246,4
CDLT,607,24
CDLU,264,9
CDLV,400,16
CDLW,105,4
CDLX,128,5
CDLY,190,4
CDLZ,408,15
CDM,2631,81
CDMN,422,16
CDMO,189,5
CDMP,168,7
CDMQ,356,15
CDMR,389,17
CDMS,98,2
CDMT,273,9
CDMU,289,9
CDMV,278,9
CDMW,77,3
CDMZ,28,1
CDN,10128,330
CDNN,733,32
CDNO,301,11
CDNP,557,22
CDNQ,1344,64
CDNR,1754,73
CDNS,208,5
CDNT,1248,45
CDNU,210,9
CDNV,1087,59
CDNW,232,10
CDNX,113,3
CDNY,191,9
CDNZ,402,12
CDO,3921,104
CDOO,38,1
CDOP,40,2
CDOQ,89,3
CDOR,248,10
CDOS,73,2
CDOT,321,11
CDOU,32,2
CDOV,153,4
CDOW,176,5
CDOX,24,1
CDOY,54,2
CDOZ,144,4
CDP,2390,73
CDPQ,149,6
CDPR,159,7
CDPS,13,1
CDPT,244,13
CDPU,41,2
CDPV,209,12
CDPW,55,2
CDPX,111,4
CDPY,59,2
CDPZ,243,7
CDQ,8035,280
CDQR,1367,52
CDQS,158,5
CDQT,747,29
CDQU,225,8
CDQV,1105,42
CDQW,142,5
CDQX,369,13
CDQY,215,7
CDQZ,196,7
CDR,9641,307
CDRR,549,20
CDRS,221,7
CDRT,1374,49
CDRU,354,12
CDRV,842,40
CDRW,461,13
CDRX,300,11
CDRY,150,6
CDRZ,513,19
CDS,2805,71
CDST,318,9
CDSU,33,1
CDSV,195,7
CDSW,27,1
CDSX,30,1
CDSZ,126,3
CDT,7531,241
CDTT,220,10
CDTU,234,7
CDTV,1015,42
CDTW,410,13
CDTX,203,7
CDTY,21,1
CDTZ,228,8
CDU,2631,94
CDUV,228,12
CDUW,122,5
CDUX,145,4
CDUY,112,4
CDUZ,115,5
CDV,7379,254
CDVW,308,12
CDVX,321,11
CDVY,40,1
CDVZ,408,17
CDW,2917,87
CDWX,42,2
CDWY,196,6
CDX,1653,53
CDXY,26,1
CDXZ,145,3
CDY,1475,42
CDYZ,47,2
CDZ,2423,65
CE,94373,2378
CEE,14557,414
CEEE,327,11
CEEF,80,3
CEEG,461,20
CEEI,955,31
CEEJ,255,10
CEEK,141,4
CEEL,247,10
CEEM,336,11
CEEN,591,22
CEEO,478,17
CEEP,185,6
CEEQ,537,23
CEER,564,17
CEES,24,1
CEET,863,26
CEEU,598,22
CEEV,443,18
CEEW,408,12
CEEX,106,3
CEEY,102,5
CEEZ,311,10
CEF,5036,133
CEFG,136,5
CEFH,59,2
CEFI,543,18
CEFJ,96,4
CEFK,224,6
CEFL,122,5
CEFM,155,4
CEFN,389,13
CEFO,269,7
CEFP,78,3
CEFQ,396,13
CEFR,142,6
CEFS,79,2
CEFT,206,8
CEFU,24,1
CEFV,312,11
CEFW,162,5
CEFX,104,3
CEFY,185,6
CEFZ,238,6
CEG,9721,316
CEGH,97,3
CEGI,783,26
CEGJ,291,10
CEGK,179,6
CEGL,89,6
CEGM,276,9
CEGN,682,27
CEGO,454,11
CEGP,266,10
CEGQ,877,31
CEGR,493,22
CEGS,78,2
CEGT,554,22
CEGU,452,17
CEGV,283,14
CEGW,254,10
CEGX,87,4
CEGY,45,2
CEGZ,196,8
CEH,3176,74
CEHI,193,5
CEHJ,220,5
CEHK,89,2
CEHL,255,7
CEHN,302,10
CEHO,121,4
CEHP,69,2
CEHQ,155,4
CEHR,411,11
CEHT,232,8
CEHU,73,3
CEHV,109,4
CEHW,96,4
CEI,22874,600
CEII,955,35
CEIJ,553,22
CEIK,185,6
CEIL,651,23
CEIM,346,9
CEIN,829,27
CEIO,695,24
CEIP,132,6
CEIQ,915,32
CEIR,672,26
CEIS,76,4
CEIT,602,22
CEIU,630,22
CEIV,914,34
CEIW,372,11
CEIX,278,8
CEIY,439,14
CEIZ,588,15
CEJ,8434,244
CEJK,89,3
CEJL,362,12
CEJM,146,4
CEJN,452,15
CEJO,139,5
CEJP,96,3
CEJQ,244,9
CEJR,386,14
CEJS,78,3
CEJT,518,19
CEJU,311,10
CEJV,371,16
CEJW,258,8
CEJX,83,1
CEJY,44,2
CEJZ,190,6
CEK,4206,117
CEKL,172,5
CEKM,57,2
CEKN,236,7
CEKO,92,3
CEKP,47,1
CEKQ,384,13
CEKR,170,8
CEKS,35,1
CEKT,265,10
CEKU,113,4
CEKV,272,9
CEKW,45,1
CEKX,44,1
CEKY,67,4
CEKZ,413,9
CEL,8878,262
CELM,128,4
CELN,494,16
CELO,593,19
CELP,318,9
CELQ,441,17
CELR,576,22
CELS,88,2
CELT,566,21
CELU,103,5
CELV,270,8
CELW,84,4
CELX,85,3
CELY,341,8
CELZ,220,8
CEM,4101,117
CEMN,416,13
CEMO,348,10
CEMP,40,1
CEMQ,130,5
CEMR,358,11
CEMS,44,2
CEMT,292,10
CEMU,183,6
CEMV,97,4
CEMW,28,2
CEMX,96,3
CEMY,72,3
CEMZ,79,3
CEN,16430,480
CENN,697,23
CENO,1160,28
CENP,319,12
CENQ,1044,41
CENR,1246,46
CENS,124,3
CENT,1190,38
CENU,701,24
CENV,845,28
CENW,488,17
CENX,682,23
CENY,211,8
CENZ,198,8
CEO,14606,377
CEOO,401,11
CEOP,176,4
CEOQ,415,18
CEOR,662,20
CEOS,102,2
CEOT,445,13
CEOU,596,22
CEOV,213,9
CEOW,282,10
CEOX,223,6
CEOY,229,6
CEOZ,195,8
CEP,4362,120
CEPQ,233,7
CEPR,268,8
CEPT,166,7
CEPU,99,4
CEPV,90,4
CEPX,4,1
CEPY,36,2
CEPZ,142,7
CEQ,16687,545
CEQR,552,21
CEQS,132,7
CEQT,797,32
CEQU,400,16
CEQV,805,32
CEQW,370,12
CEQX,80,3
CEQY,128,4
CEQZ,485,17
CER,12884,360
CERR,461,17
CERS,51,2
CERT,734,23
CERU,544,19
CERV,1038,33
CERW,271,9
CERX,130,3
CERY,60,3
CERZ,358,15
CES,3447,85
CESS,40,1
CEST,21,1
CESU,84,2
CESV,55,2
CESW,80,2
CESX,255,4
CESY,27,1
CET,10673,320
CETT,448,17
CETU,508,17
CETV,651,23
CETW,232,10
CETX,152,4
CETY,90,2
CETZ,148,8
CEU,10373,287
CEUV,326,13
CEUW,548,15
CEUX,87,4
CEUY,105,4
CEUZ,113,5
CEV,11934,363
CEVW,266,10
CEVX,92,4
CEVY,139,7
CEVZ,545,16
CEW,5483,145
CEWX,83,2
CEWY,247,6
CEX,3101,87
CEXY,44,1
CEXZ,126,3
CEY,4232,106
CEZ,3783,117
CF,32963,922
CFG,4670,148
CFGH,94,3
CFGI,133,5
CFGJ,207,8
CFGK,109,5
CFGL,127,4
CFGM,200,9
CFGN,556,22
CFGO,192,7
CFGP,259,11
CFGQ,520,25
CFGR,623,20
CFGS,184,5
CFGT,680,23
CFGU,85,4
CFGV,631,26
CFGW,179,7
CFGX,142,5
CFGY,40,1
CFGZ,165,7
CFH,1665,48
CFHI,56,2
CFHJ,132,7
CFHK,26,1
CFHL,102,4
CFHM,102,3
CFHN,348,12
CFHO,85,2
CFHP,78,2
CFHQ,86,4
CFHR,80,3
CFHT,192,6
CFHU,37,1
CFHV,178,6
CFHW,39,1
CFHX,97,3
CFHZ,106,3
CFI,6151,174
CFII,184,6
CFIJ,387,13
CFIK,234,8
CFIL,283,9
CFIM,262,9
CFIN,393,14
CFIO,202,7
CFIP,208,6
CFIQ,460,18
CFIR,208,6
CFIS,98,3
CFIT,78,5
CFIU,129,3
CFIV,170,7
CFIW,112,4
CFIX,14,2
CFIY,60,2
CFIZ,200,6
CFJ,3320,105
CFJK,169,5
CFJL,241,9
CFJM,122,4
CFJN,316,13
CFJO,65,2
CFJP,183,7
CFJQ,357,14
CFJR,414,17
CFJS,66,3
CFJT,498,17
CFJU,113,5
CFJV,580,22
CFJW,164,6
CFJX,135,5
CFJY,83,2
CFJZ,179,6
CFK,2872,75
CFKL,182,4
CFKM,125,4
CFKN,477,15
CFKP,249,8
CFKQ,328,15
CFKR,218,7
CFKS,163,4
CFKT,368,12
CFKU,18,3
CFKV,145,6
CFKW,81,3
CFKX,144,6
CFKZ,99,4
CFL,3876,123
CFLM,355,13
CFLN,785,27
CFLO,177,7
CFLP,212,6
CFLQ,580,24
CFLR,519,24
CFLS,245,6
CFLT,474,18
CFLU,216,8
CFLV,494,16
CFLW,136,6
CFLX,206,8
CFLY,14,1
CFLZ,174,7
CFM,2679,77
CFMN,550,18
CFMO,76,2
CFMP,128,4
CFMQ,510,18
CFMR,424,13
CFMS,99,2
CFMT,395,13
CFMV,327,11
CFMW,57,2
CFMY,63,2
CFMZ,106,2
CFN,8061,267
CFNN,299,11
CFNO,296,10
CFNP,491,19
CFNQ,917,41
CFNR,804,35
CFNS,275,7
CFNT,874,33
CFNU,259,9
CFNV,693,27
CFNW,309,10
CFNX,157,7
CFNY,61,4
CFNZ,568,21
CFO,3255,96
CFOO,233,7
CFOP,86,3
CFOQ,120,5
CFOR,231,8
CFOS,89,2
CFOT,83,2
CFOU,196,6
CFOV,111,5
CFOW,36,1
CFOZ,87,3
CFP,2500,81
CFPQ,205,7
CFPR,317,12
CFPS,56,2
CFPT,250,12
CFPU,177,5
CFPV,262,12
CFPW,131,4
CFPX,54,3
CFPY,23,1
CFPZ,78,4
CFQ,6102,205
CFQR,824,31
CFQS,145,6
CFQT,536,22
CFQU,333,11
CFQV,876,39
CFQW,249,10
CFQX,168,6
CFQY,168,7
CFQZ,329,15
CFR,6492,199
CFRR,527,24
CFRS,80,3
CFRT,922,35
CFRU,290,9
CFRV,779,35
CFRW,199,9
CFRX,513,15
CFRY,136,4
CFRZ,339,11
CFS,1785,49
CFST,299,10
CFSV,208,7
CFSW,43,1
CFSX,45,1
CFSY,31,2
CFSZ,106,2
CFT,6434,198
CFTT,347,13
CFTU,179,7
CFTV,779,32
CFTW,387,10
CFTX,87,5
CFTY,158,5
CFTZ,432,12
CFU,3368,101
CFUV,174,6
CFUW,247,7
CFUX,91,3
CFUY,96,4
CFUZ,320,9
CFV,6209,207
CFVW,334,12
CFVX,112,3
CFVY,145,3
CFVZ,469,15
CFW,2152,69
CFWX,172,5
CFWY,154,6
CFWZ,60,2
CFX,1501,45
CFXZ,55,1
CFY,1155,34
CFYZ,114,3
CFZ,2409,73
CG,53854,1600
CGH,2534,73
CGHI,120,4
CGHJ,152,4
CGHK,63,2
CGHL,146,6
CGHM,135,4
CGHN,303,11
CGHO,65,3
CGHP,40,1
CGHQ,160,8
CGHR,321,11
CGHS,114,3
CGHT,290,10
CGHU,81,3
CGHV,121,5
CGHW,35,1
CGHX,41,2
CGHY,131,4
CGHZ,182,5
CGI,10791,339
CGII,392,16
CGIJ,335,13
CGIK,235,9
CGIL,586,20
CGIM,181,8
CGIN,418,19
CGIO,612,15
CGIP,357,9
CGIQ,728,26
CGIR,664,23
CGIS,105,3
CGIT,356,15
CGIU,369,17
CGIV,665,25
CGIW,171,7
CGIX,156,7
CGIY,113,4
CGIZ,378,12
CGJ,6957,233
CGJK,133,5
CGJL,539,24
CGJM,149,7
CGJN,1273,53
CGJO,90,5
CGJP,190,7
CGJQ,715,26
CGJR,847,34
CGJS,86,4
CGJT,429,18
CGJU,198,8
CGJV,736,30
CGJW,355,14
CGJX,319,11
CGJY,115,5
CGJZ,542,23
CGK,3532,106
CGKL,269,11
CGKM,139,4
CGKN,421,16
CGKO,184,6
CGKP,223,9
CGKQ,463,19
CGKR,587,20
CGKS,121,3
CGKT,337,16
CGKU,55,2
CGKV,269,11
CGKW,283,6
CGKX,226,5
CGKY,32,2
CGKZ,81,4
CGL,6616,243
CGLM,323,13
CGLN,1329,58
CGLO,255,9
CGLP,215,11
CGLQ,1157,47
CGLR,1071,46
CGLS,145,6
CGLT,995,46
CGLU,269,12
CGLV,624,28
CGLW,284,14
CGLX,234,9
CGLY,111,4
CGLZ,351,16
CGM,4113,125
CGMN,504,27
CGMO,150,6
CGMP,237,9
CGMQ,415,15
CGMR,620,23
CGMS,69,3
CGMT,713,26
CGMU,161,5
CGMV,395,16
CGMW,155,6
CGMX,216,10
CGMY,37,1
CGMZ,316,9
CGN,14008,493
CGNN,722,32
CGNO,407,15
CGNP,843,32
CGNQ,1957,85
CGNR,1623,67
CGNS,386,16
CGNT,1929,84
CGNU,463,23
CGNV,1497,59
CGNW,632,23
CGNX,390,16
CGNY,386,14
CGNZ,1055,38
CGO,6745,216
CGOO,136,6
CGOP,99,3
CGOQ,238,11
CGOR,291,16
CGOS,94,2
CGOT,363,12
CGOU,100,5
CGOV,451,16
CGOW,286,9
CGOY,99,2
CGOZ,142,4
CGP,3772,122
CGPQ,338,15
CGPR,324,14
CGPS,100,3
CGPT,388,14
CGPU,222,8
CGPV,455,19
CGPW,172,7
CGPX,85,4
CGPY,86,3
CGPZ,384,16
CGQ,12009,440
CGQR,1127,48
CGQS,301,9
CGQT,1297,59
CGQU,501,20
CGQV,1757,76
CGQW,372,14
CGQX,466,18
CGQY,246,10
CGQZ,539,25
CGR,12221,429
CGRR,771,39
CGRS,322,12
CGRT,1405,58
CGRU,335,13
CGRV,1463,64
CGRW,437,19
CGRX,493,17
CGRY,137,4
CGRZ,856,31
CGS,3463,95
CGSS,64,2
CGST,178,5
CGSU,81,3
CGSV,248,8
CGSW,268,9
CGSX,46,2
CGSZ,74,5
CGT,11593,421
CGTT,370,16
CGTU,287,13
CGTV,1108,42
CGTW,271,11
CGTX,550,17
CGTY,309,10
CGTZ,652,29
CGU,6474,219
CGUV,339,14
CGUW,55,2
CGUX,244,7
CGUY,29,2
CGUZ,438,14
CGV,10732,393
CGVW,352,16
CGVX,339,13
CGVY,150,5
CGVZ,634,25
CGW,3688,122
CGWX,71,3
CGWZ,213,4
CGX,2671,79
CGXY,192,6
CGXZ,83,3
CGY,2563,74
CGYZ,181,4
CGZ,4338,143
CH,18161,437
CHI,3049,69
CHII,94,3
CHIJ,112,3
CHIL,188,5
CHIN,43,2
CHIO,74,3
CHIP,68,2
CHIQ,188,8
CHIR,260,7
CHIS,52,2
CHIT,66,2
CHIU,223,5
CHIV,110,4
CHIW,85,3
CHIY,62,2
CHJ,1951,56
CHJK,101,4
CHJL,77,5
CHJN,249,8
CHJO,158,5
CHJP,94,2
CHJQ,216,7
CHJR,89,4
CHJT,150,5
CHJU,25,1
CHJV,97,8
CHJW,204,5
CHJY,34,1
CHJZ,97,3
CHK,952,25
CHKL,38,2
CHKM,87,3
CHKN,188,6
CHKO,18,1
CHKP,41,1
CHKQ,177,6
CHKR,43,2
CHKT,334,10
CHKU,48,1
CHKV,89,3
CHKW,16,2
CHKX,113,2
CHKZ,19,1
CHL,2396,63
CHLM,50,2
CHLN,309,12
CHLO,21,1
CHLP,20,2
CHLQ,350,11
CHLR,310,10
CHLS,66,3
CHLT,400,14
CHLU,58,2
CHLV,246,10
CHLW,121,3
CHLX,17,1
CHLY,160,5
CHLZ,105,4
CHM,1518,37
CHMN,201,6
CHMO,43,1
CHMP,71,1
CHMQ,182,6
CHMR,186,5
CHMT,265,6
CHMU,54,2
CHMV,119,3
CHMW,103,3
CHN,4287,113
CHNN,86,5
CHNO,128,3
CHNP,174,8
CHNQ,615,21
CHNR,438,13
CHNS,122,5
CHNT,559,17
CHNU,66,2
CHNV,617,18
CHNW,81,3
CHNX,69,3
CHNY,137,4
CHNZ,159,5
CHO,2242,52
CHOO,19,1
CHOQ,112,4
CHOR,84,3
CHOT,170,4
CHOU,129,5
CHOV,62,2
CHOW,33,1
CHOY,18,1
CHOZ,95,2
CHP,1204,30
CHPQ,167,7
CHPR,17,1
CHPT,90,5
CHPU,72,2
CHPV,69,2
CHPY,12,1
CHPZ,27,1
CHQ,2992,94
CHQR,400,14
CHQS,34,1
CHQT,169,6
CHQU,72,2
CHQV,613,21
CHQW,177,5
CHQX,47,1
CHQY,89,5
CHQZ,170,4
CHR,3745,100
CHRR,93,3
CHRS,207,6
CHRT,428,16
CHRU,120,4
CHRV,399,15
CHRW,140,5
CHRX,75,2
CHRY,152,4
CHRZ,287,8
CHS,1091,25
CHSV,54,2
CHSW,63,1
CHSY,13,1
CHSZ,64,2
CHT,2720,76
CHTT,59,2
CHTU,135,5
CHTV,385,15
CHTW,166,6
CHTX,162,5
CHTY,176,5
CHTZ,148,6
CHU,1632,47
CHUV,38,1
CHUW,93,2
CHUY,35,2
CHUZ,22,1
CHV,3066,94
CHVW,59,2
CHVX,231,6
CHVY,141,4
CHVZ,177,5
CHW,1400,40
CHWX,158,4
CHX,944,25
CHXY,51,1
CHXZ,20,1
CHY,718,18
CHZ,1330,39
CI,109128,2873
CII,19345,596
CIII,557,19
CIIJ,702,25
CIIK,53,2
CIIL,539,16
CIIM,453,18
CIIN,729,24
CIIO,737,28
CIIP,276,10
CIIQ,1232,47
CIIR,923,35
CIIS,300,10
CIIT,809,29
CIIU,962,31
CIIV,926,36
CIIW,216,9
CIIX,236,8
CIIY,116,5
CIIZ,398,16
CIJ,9052,263
CIJK,200,8
CIJL,510,23
CIJM,271,9
CIJN,571,19
CIJO,314,11
CIJP,254,9
CIJQ,666,24
CIJR,416,23
CIJS,67,2
CIJT,236,9
CIJU,292,13
CIJV,242,12
CIJW,155,7
CIJX,268,8
CIJY,179,5
CIJZ,81,3
CIK,4110,114
CIKL,233,10
CIKM,157,6
CIKN,183,6
CIKO,54,4
CIKP,12,1
CIKQ,244,11
CIKR,281,9
CIKS,66,2
CIKT,132,4
CIKU,153,6
CIKV,128,5
CIKW,261,7
CIKY,46,3
CIKZ,97,4
CIL,10434,322
CILM,267,10
CILN,847,33
CILO,439,16
CILP,191,6
CILQ,666,29
CILR,869,32
CILS,197,4
CILT,616,25
