,47.5
BJRW,28.3
BJRX,28.8
BJRY,29.1
BJRZ,29.9
BJS,37.6
BJSS,38.5
BJST,31.4
BJSU,37.5
BJSV,30.6
BJSW,35.4
BJSX,36.2
BJSY,34.3
BJSZ,31.3
BJT,32.7
BJTT,27.5
BJTU,28.5
BJTV,25.9
BJTW,28.7
BJTX,29.6
BJTY,30.3
BJTZ,27.7
BJU,33.4
BJUV,26.6
BJUW,28.2
BJUX,28.8
BJUY,29.3
BJUZ,30.8
BJV,31.2
BJVW,27.3
BJVX,29.0
BJVY,27.3
BJVZ,27.5
BJW,33.7
BJWX,34.1
BJWY,29.6
BJWZ,29.3
BJX,35.9
BJXY,28.6
BJXZ,33.9
BJY,36.6
BJYZ,34.1
BJZ,33.9
BK,39.1
BKL,33.9
BKLM,30.4
BKLN,26.6
BKLO,31.1
BKLP,29.9
BKLQ,25.9
BKLR,28.8
BKLS,33.6
BKLT,27.6
BKLU,29.0
BKLV,25.9
BKLW,28.2
BKLX,27.3
BKLY,31.5
BKLZ,27.4
BKM,34.9
BKMN,28.9
BKMO,35.6
BKMP,25.9
BKMQ,27.2
BKMR,29.9
BKMS,30.7
BKMT,29.5
BKMU,29.3
BKMV,27.0
BKMW,28.2
BKMX,31.2
BKMY,32.7
BKMZ,31.1
BKN,33.0
BKNN,25.8
BKNO,30.2
BKNP,27.8
BKNQ,26.6
BKNR,28.3
BKNS,34.8
BKNT,27.9
BKNU,27.1
BKNV,25.8
BKNW,28.8
BKNX,30.0
BKNY,31.6
BKNZ,28.6
BKO,38.1
BKOO,36.0
BKOP,33.1
BKOQ,26.3
BKOR,33.4
BKOS,39.4
BKOT,29.3
BKOU,33.2
BKOV,28.1
BKOW,32.1
BKOX,30.3
BKOY,35.1
BKOZ,31.6
BKP,34.5
BKPQ,26.5
BKPR,29.1
BKPS,31.2
BKPT,28.8
BKPU,32.0
BKPV,25.1
BKPW,28.5
BKPX,28.7
BKPY,33.1
BKPZ,29.6
BKQ,31.8
BKQR,27.4
BKQS,32.0
BKQT,27.0
BKQU,28.8
BKQV,25.6
BKQW,28.1
BKQX,30.2
BKQY,29.5
BKQZ,27.5
BKR,34.3
BKRR,26.8
BKRS,36.1
BKRT,28.7
BKRU,29.7
BKRV,26.4
BKRW,30.1
BKRX,31.3
BKRY,33.4
BKRZ,30.6
BKS,40.0
BKSS,40.3
BKST,33.2
BKSU,35.0
BKSV,32.3
BKSW,32.3
BKSX,36.1
BKSY,33.9
BKSZ,34.5
BKT,33.7
BKTT,25.2
BKTU,29.7
BKTV,26.1
BKTW,28.3
BKTX,29.3
BKTY,31.0
BKTZ,28.1
BKU,34.6
BKUV,27.6
BKUW,29.3
BKUX,31.5
BKUY,30.5
BKUZ,29.7
BKV,31.7
BKVW,27.0
BKVX,29.0
BKVY,31.1
BKVZ,27.8
BKW,35.5
BKWX,35.0
BKWY,27.2
BKWZ,28.0
BKX,36.3
BKXY,40.8
BKXZ,35.1
BKY,38.1
BKYZ,31.5
BKZ,35.8
BL,36.1
BLM,33.4
BLMN,25.7
BLMO,30.0
BLMP,27.3
BLMQ,25.6
BLMR,27.4
BLMS,30.4
BLMT,27.2
BLMU,28.0
BLMV,26.0
BLMW,29.2
BLMX,29.8
BLMY,32.5
BLMZ,27.8
BLN,29.7
BLNN,22.7
BLNO,28.9
BLNP,25.2
BLNQ,23.9
BLNR,24.7
BLNS,29.3
BLNT,25.5
BLNU,26.1
BLNV,23.7
BLNW,25.7
BLNX,26.7
BLNY,28.9
BLNZ,26.2
BLO,35.6
BLOO,30.6
BLOP,28.3
BLOQ,25.0
BLOR,29.6
BLOS,34.7
BLOT,29.7
BLOU,30.1
BLOV,26.9
BLOW,32.5
BLOX,31.3
BLOY,29.2
BLOZ,31.0
BLP,31.6
BLPQ,26.1
BLPR,26.7
BLPS,30.3
BLPT,27.2
BLPU,27.5
BLPV,24.6
BLPW,28.9
BLPX,30.0
BLPY,28.0
BLPZ,29.2
BLQ,29.0
BLQR,24.4
BLQS,28.5
BLQT,25.5
BLQU,26.3
BLQV,22.8
BLQW,24.5
BLQX,27.1
BLQY,27.5
BLQZ,25.4
BLR,30.8
BLRR,24.1
BLRS,32.3
BLRT,25.9
BLRU,27.2
BLRV,24.6
BLRW,27.3
BLRX,29.7
BLRY,28.4
BLRZ,27.6
BLS,37.3
BLSS,33.0
BLST,33.9
BLSU,32.1
BLSV,27.7
BLSW,31.1
BLSX,34.2
BLSY,32.8
BLSZ,31.2
BLT,31.4
BLTT,23.9
BLTU,26.8
BLTV,23.9
BLTW,27.3
BLTX,29.0
BLTY,30.4
BLTZ,29.5
BLU,32.1
BLUV,24.8
BLUW,27.9
BLUX,28.8
BLUY,30.5
BLUZ,27.0
BLV,28.8
BLVW,25.5
BLVX,28.0
BLVY,27.4
BLVZ,25.3
BLW,32.1
BLWX,31.8
BLWY,27.5
BLWZ,28.4
BLX,33.4
BLXY,35.3
BLXZ,29.4
BLY,34.8
BLYZ,26.6
BLZ,32.9
BM,38.9
BMN,32.5
BMNN,24.5
BMNO,30.8
BMNP,28.1
BMNQ,26.7
BMNR,26.9
BMNS,31.9
BMNT,27.7
BMNU,28.7
BMNV,25.4
BMNW,28.1
BMNX,30.3
BMNY,31.3
BMNZ,29.9
BMO,38.6
BMOO,34.4
BMOP,30.8
BMOQ,30.2
BMOR,31.9
BMOS,36.1
BMOT,33.9
BMOU,31.7
BMOV,31.7
BMOW,32.9
BMOX,34.8
BMOY,31.6
BMOZ,30.2
BMP,33.8
BMPQ,26.5
BMPR,29.2
BMPS,31.7
BMPT,29.0
BMPU,33.4
BMPV,26.7
BMPW,31.7
BMPX,30.3
BMPY,35.0
BMPZ,32.3
BMQ,31.9
BMQR,26.9
BMQS,32.6
BMQT,27.3
BMQU,26.2
BMQV,24.6
BMQW,28.4
BMQX,31.5
BMQY,31.2
BMQZ,28.8
BMR,33.8
BMRR,26.0
BMRS,34.1
BMRT,27.6
BMRU,30.3
BMRV,26.7
BMRW,30.3
BMRX,32.3
BMRY,31.7
BMRZ,27.8
BMS,39.1
BMSS,29.7
BMST,34.7
BMSU,35.0
BMSV,31.0
BMSW,35.3
BMSX,33.8
BMSY,36.8
BMSZ,33.4
BMT,33.5
BMTT,26.4
BMTU,30.7
BMTV,26.5
BMTW,29.3
BMTX,31.3
BMTY,34.2
BMTZ,29.8
BMU,35.1
BMUV,25.4
BMUW,30.4
BMUX,33.0
BMUY,32.4
BMUZ,30.2
BMV,31.0
BMVW,27.7
BMVX,30.4
BMVY,31.0
BMVZ,27.6
BMW,34.8
BMWX,30.1
BMWY,32.0
BMWZ,29.7
BMX,36.3
BMXY,33.2
BMXZ,32.3
BMY,37.5
BMYZ,31.4
BMZ,33.8
BN,35.8
BNN,28.7
BNNO,27.0
BNNP,24.4
BNNQ,23.0
BNNR,23.6
BNNS,29.7
BNNT,24.6
BNNU,25.3
BNNV,22.5
BNNW,24.3
BNNX,27.2
BNNY,27.3
BNNZ,24.6
BNO,35.4
BNOO,30.1
BNOP,29.0
BNOQ,26.0
BNOR,29.9
BNOS,35.3
BNOT,29.0
BNOU,29.4
BNOV,28.4
BNOW,30.9
BNOX,30.3
BNOY,31.5
BNOZ,27.5
BNP,31.8
BNPQ,25.1
BNPR,26.3
BNPS,30.4
BNPT,26.5
BNPU,27.7
BNPV,24.8
BNPW,28.2
BNPX,27.8
BNPY,30.7
BNPZ,29.3
BNQ,29.3
BNQR,25.0
BNQS,28.7
BNQT,25.4
BNQU,27.1
BNQV,23.4
BNQW,26.1
BNQX,27.5
BNQY,27.5
BNQZ,27.3
BNR,31.3
BNRR,24.5
BNRS,32.6
BNRT,27.0
BNRU,28.6
BNRV,24.5
BNRW,27.6
BNRX,28.8
BNRY,28.9
BNRZ,27.9
BNS,37.0
BNSS,35.7
BNST,31.3
BNSU,33.0
BNSV,29.7
BNSW,33.5
BNSX,32.1
BNSY,31.9
BNSZ,32.5
BNT,31.0
BNTT,25.0
BNTU,28.1
BNTV,24.0
BNTW,27.5
BNTX,27.9
BNTY,29.1
BNTZ,27.3
BNU,33.0
BNUV,24.5
BNUW,27.7
BNUX,29.3
BNUY,31.9
BNUZ,26.8
BNV,28.8
BNVW,24.6
BNVX,26.9
BNVY,26.8
BNVZ,25.7
BNW,32.2
BNWX,30.0
BNWY,30.9
BNWZ,28.3
BNX,33.6
BNXY,30.4
BNXZ,31.4
BNY,35.5
BNYZ,31.6
BNZ,32.7
BO,41.9
BOO,37.3
BOOO,30.3
BOOP,32.4
BOOQ,27.9
BOOR,30.5
BOOS,42.4
BOOT,31.6
BOOU,28.8
BOOV,28.5
BOOW,34.9
BOOX,43.0
BOOY,31.6
BOOZ,28.8
BOP,36.7
BOPQ,30.5
BOPR,30.0
BOPS,30.8
BOPT,30.7
BOPU,31.9
BOPV,31.5
BOPW,32.6
BOPX,35.8
BOPY,31.6
BOPZ,27.2
BOQ,32.9
BOQR,28.7
BOQS,31.7
BOQT,28.7
BOQU,30.0
BOQV,26.8
BOQW,29.5
BOQX,26.2
BOQY,29.6
BOQZ,28.1
BOR,37.0
BORR,28.4
BORS,34.7
BORT,30.9
BORU,29.1
BORV,29.7
BORW,31.0
BORX,31.9
BORY,35.2
BORZ,32.3
BOS,42.7
BOSS,35.4
BOST,36.0
BOSU,32.8
BOSV,33.0
BOSW,36.1
BOSX,34.1
BOSY,33.8
BOSZ,34.5
BOT,36.7
BOTT,27.7
BOTU,29.5
BOTV,29.0
BOTW,32.9
BOTX,33.1
BOTY,33.5
BOTZ,30.0
BOU,35.2
BOUV,26.8
BOUW,28.5
BOUX,34.5
BOUY,32.6
BOUZ,30.2
BOV,33.7
BOVW,29.6
BOVX,31.1
BOVY,30.5
BOVZ,26.5
BOW,37.9
BOWX,36.6
BOWY,30.5
BOWZ,30.0
BOX,38.4
BOXY,40.2
BOXZ,32.3
BOY,39.7
BOYZ,32.2
BOZ,36.5
BP,37.3
BPQ,31.3
BPQR,25.9
BPQS,30.2
BPQT,26.4
BPQU,28.9
BPQV,24.9
BPQW,27.1
BPQX,30.6
BPQY,27.7
BPQZ,27.7
BPR,32.5
BPRR,26.4
BPRS,33.1
BPRT,26.4
BPRU,29.0
BPRV,25.8
BPRW,28.0
BPRX,31.5
BPRY,29.5
BPRZ,29.0
BPS,37.1
BPSS,33.4
BPST,29.3
BPSU,32.2
BPSV,28.5
BPSW,29.5
BPSX,34.0
BPSY,31.2
BPSZ,35.7
BPT,32.4
BPTT,25.2
BPTU,28.8
BPTV,25.5
BPTW,28.5
BPTX,28.6
BPTY,30.3
BPTZ,30.0
BPU,33.9
BPUV,26.7
BPUW,27.1
BPUX,28.4
BPUY,26.6
BPUZ,27.4
BPV,30.5
BPVW,27.1
BPVX,28.3
BPVY,27.7
BPVZ,25.1
BPW,33.5
BPWX,31.0
BPWY,30.3
BPWZ,28.9
BPX,34.7
BPXY,33.7
BPXZ,32.0
BPY,35.5
BPYZ,29.1
BPZ,34.3
BQ,34.4
BQR,30.0
BQRR,24.7
BQRS,29.4
BQRT,26.0
BQRU,27.6
BQRV,24.6
BQRW,27.5
BQRX,28.4
BQRY,29.0
BQRZ,28.1
BQS,34.8
BQSS,32.2
BQST,30.1
BQSU,26.2
BQSV,26.6
BQSW,33.1
BQSX,30.2
BQSY,29.1
BQSZ,32.4
BQT,30.3
BQTT,24.8
BQTU,26.8
BQTV,24.2
BQTW,28.5
BQTX,29.0
BQTY,29.1
BQTZ,27.8
BQU,32.3
BQUV,26.2
BQUW,26.9
BQUX,26.8
BQUY,28.1
BQUZ,27.8
BQV,28.8
BQVW,25.3
BQVX,27.4
BQVY,27.2
BQVZ,25.9
BQW,31.3
BQWX,27.1
BQWY,29.4
BQWZ,27.3
BQX,32.8
BQXY,27.9
BQXZ,30.0
BQY,34.4
BQYZ,26.4
BQZ,32.2
BR,37.7
BRR,30.8
BRRS,32.9
BRRT,24.6
BRRU,26.7
BRRV,23.0
BRRW,28.9
BRRX,27.7
BRRY,29.9
BRRZ,25.8
BRS,39.0
BRSS,37.8
BRST,33.1
BRSU,33.9
BRSV,29.8
BRSW,35.6
BRSX,30.6
BRSY,33.4
BRSZ,33.3
BRT,32.4
BRTT,24.9
BRTU,28.9
BRTV,25.5
BRTW,28.2
BRTX,29.3
BRTY,30.1
BRTZ,28.7
BRU,34.5
BRUV,25.4
BRUW,28.8
BRUX,29.9
BRUY,32.6
BRUZ,29.1
BRV,30.1
BRVW,26.0
BRVX,27.7
BRVY,29.0
BRVZ,27.9
BRW,33.4
BRWX,30.0
BRWY,31.6
BRWZ,29.9
BRX,35.0
BRXY,32.0
BRXZ,32.0
BRY,37.1
BRYZ,29.5
BRZ,33.8
BS,43.3
BSS,42.8
BSST,32.5
BSSU,31.9
BSSV,28.0
BSSW,39.8
BSSX,35.6
BSSY,34.8
BSSZ,37.4
BST,38.2
BSTT,30.4
BSTU,33.4
BSTV,29.6
BSTW,31.3
BSTX,35.0
BSTY,39.1
BSTZ,34.3
BSU,39.8
BSUV,29.7
BSUW,29.6
BSUX,26.6
BSUY,36.2
BSUZ,29.6
BSV,34.1
BSVW,27.7
BSVX,29.0
BSVY,32.0
BSVZ,29.7
BSW,37.8
BSWX,37.3
BSWY,32.8
BSWZ,32.5
BSX,38.8
BSXY,38.9
BSXZ,31.7
BSY,41.6
BSYZ,37.4
BSZ,38.0
BT,36.9
BTT,30.1
BTTU,28.5
BTTV,23.2
BTTW,26.2
BTTX,28.7
BTTY,28.5
BTTZ,27.9
BTU,34.0
BTUV,26.3
BTUW,27.2
BTUX,29.3
BTUY,28.7
BTUZ,26.2
BTV,29.4
BTVW,25.7
BTVX,28.8
BTVY,26.4
BTVZ,26.0
BTW,33.1
BTWX,31.2
BTWY,31.2
BTWZ,28.8
BTX,34.5
BTXY,31.3
BTXZ,30.6
BTY,37.1
BTYZ,30.5
BTZ,33.2
BU,38.0
BUV,29.8
BUVW,24.9
BUVX,26.7
BUVY,29.7
BUVZ,26.1
BUW,33.0
BUWX,31.8
BUWY,34.8
BUWZ,31.4
BUX,34.6
BUXY,29.6
BUXZ,32.7
BUY,37.0
BUYZ,28.7
BUZ,32.7
BV,34.1
BVW,31.5
BVWX,27.2
BVWY,29.4
BVWZ,26.6
BVX,33.2
BVXY,27.0
BVXZ,29.1
BVY,34.4
BVYZ,29.5
BVZ,31.4
BW,38.0
BWX,35.9
BWXY,33.8
BWXZ,33.1
BWY,37.5
BWYZ,30.5
BWZ,34.8
BX,39.6
BXY,38.7
BXYZ,36.4
BXZ,35.4
BY,41.4
BYZ,37.1
BZ,38.6
C,42.7
CD,36.3
CDE,35.9
CDEE,30.9
CDEF,29.2
CDEG,27.8
CDEH,32.5
CDEI,31.4
CDEJ,31.1
CDEK,33.7
CDEL,28.9
CDEM,33.1
CDEN,29.8
CDEO,35.5
CDEP,30.1
CDEQ,27.3
CDER,31.1
CDES,27.5
CDET,29.5
CDEU,31.7
CDEV,26.0
CDEW,32.3
CDEX,34.8
CDEY,33.5
CDEZ,28.5
CDF,32.9
CDFG,25.4
CDFH,30.4
CDFI,29.7
CDFJ,29.4
CDFK,28.6
CDFL,26.6
CDFM,27.9
CDFN,26.0
CDFO,31.3
CDFP,27.8
CDFQ,26.9
CDFR,26.6
CDFS,33.7
CDFT,27.2
CDFU,26.6
CDFV,23.9
CDFW,29.5
CDFX,27.9
CDFY,29.0
CDFZ,30.8
CDG,30.0
CDGH,29.3
CDGI,27.0
CDGJ,25.3
CDGK,27.3
CDGL,24.4
CDGM,26.9
CDGN,24.2
CDGO,29.3
CDGP,26.0
CDGQ,24.6
CDGR,24.2
CDGS,30.2
CDGT,23.8
CDGU,26.1
CDGV,23.3
CDGW,26.1
CDGX,27.8
CDGY,28.0
CDGZ,28.0
CDH,36.3
CDHI,33.2
CDHJ,31.0
CDHK,29.8
CDHL,30.9
CDHM,30.7
CDHN,28.6
CDHO,33.5
CDHP,32.5
CDHQ,29.5
CDHR,31.9
CDHS,35.0
CDHT,31.2
CDHU,31.7
CDHV,30.7
CDHW,32.0
CDHX,29.6
CDHY,34.3
CDHZ,32.8
CDI,35.3
CDII,27.1
CDIJ,29.8
CDIK,30.9
CDIL,28.1
CDIM,30.7
CDIN,27.4
CDIO,30.6
CDIP,31.3
CDIQ,29.0
CDIR,27.9
CDIS,35.4
CDIT,28.8
CDIU,27.4
CDIV,27.0
CDIW,29.8
CDIX,29.4
CDIY,33.0
CDIZ,28.5
CDJ,31.8
CDJK,27.7
CDJL,24.9
CDJM,29.4
CDJN,26.3
CDJO,31.8
CDJP,28.4
CDJQ,25.8
CDJR,26.6
CDJS,30.2
CDJT,27.0
CDJU,27.8
CDJV,25.5
CDJW,28.7
CDJX,32.9
CDJY,31.8
CDJZ,29.6
CDK,34.5
CDKL,26.3
CDKM,27.7
CDKN,27.8
CDKO,35.5
CDKP,31.1
CDKQ,26.1
CDKR,28.6
CDKS,34.2
CDKT,27.9
CDKU,28.5
CDKV,27.1
CDKW,28.9
CDKX,29.0
CDKY,33.6
CDKZ,27.8
CDL,30.9
CDLM,26.6
CDLN,24.4
CDLO,30.6
CDLP,25.7
CDLQ,24.6
CDLR,24.7
CDLS,32.6
CDLT,25.9
CDLU,26.1
CDLV,23.3
CDLW,27.2
CDLX,27.0
CDLY,28.4
CDLZ,26.4
CDM,33.2
CDMN,26.4
CDMO,30.7
CDMP,28.7
CDMQ,26.7
CDMR,28.0
CDMS,33.9
CDMT,27.3
CDMU,27.3
CDMV,27.6
CDMW,29.3
CDMX,33.5
CDMY,32.6
CDMZ,30.7
CDN,30.7
CDNN,23.7
CDNO,30.0
CDNP,27.3
CDNQ,24.3
CDNR,25.4
CDNS,31.4
CDNT,25.8
CDNU,25.3
CDNV,22.9
CDNW,26.4
CDNX,28.4
CDNY,29.4
CDNZ,27.1
CDO,35.8
CDOO,30.4
CDOP,28.8
CDOQ,27.0
CDOR,31.2
CDOS,36.3
CDOT,29.4
CDOU,28.1
CDOV,28.0
CDOW,32.6
CDOX,31.9
CDOY,34.9
CDOZ,31.4
CDP,32.5
CDPQ,26.9
CDPR,27.3
CDPS,36.1
CDPT,27.5
CDPU,26.5
CDPV,24.7
CDPW,26.5
CDPX,29.9
CDPY,34.7
CDPZ,28.4
CDQ,29.6
CDQR,24.7
CDQS,29.7
CDQT,25.6
CDQU,26.2
CDQV,23.7
CDQW,27.2
CDQX,28.8
CDQY,28.7
CDQZ,26.9
CDR,31.8
CDRR,24.4
CDRS,34.3
CDRT,26.7
CDRU,26.9
CDRV,24.3
CDRW,28.1
CDRX,28.0
CDRY,27.8
CDRZ,28.1
CDS,38.5
CDSS,31.2
CDST,32.0
CDSU,30.0
CDSV,30.3
CDSW,30.7
CDSX,35.6
CDSY,35.5
CDSZ,35.9
CDT,31.4
CDTT,24.1
CDTU,25.8
CDTV,24.2
CDTW,27.7
CDTX,30.4
CDTY,30.2
CDTZ,29.0
CDU,32.6
CDUV,25.0
CDUW,28.6
CDUX,28.7
CDUY,26.2
CDUZ,28.9
CDV,29.4
CDVW,25.7
CDVX,27.3
CDVY,26.7
CDVZ,26.4
CDW,32.6
CDWX,30.7
CDWY,31.0
CDWZ,29.1
CDX,34.1
CDXY,31.7
CDXZ,30.4
CDY,36.0
CDYZ,30.2
CDZ,33.9
CE,39.3
CEE,35.5
CEEE,28.1
CEEF,30.8
CEEG,27.2
CEEH,34.6
CEEI,29.0
CEEJ,27.5
CEEK,31.5
CEEL,29.2
CEEM,30.7
CEEN,28.8
CEEO,31.6
CEEP,31.5
CEEQ,26.0
CEER,30.5
CEES,33.7
CEET,29.5
CEEU,27.0
CEEV,26.8
CEEW,30.9
CEEX,31.4
CEEY,31.5
CEEZ,27.5
CEF,37.0
CEFG,29.0
CEFH,32.2
CEFI,32.0
CEFJ,30.9
CEFK,31.8
CEFL,29.6
CEFM,29.7
CEFN,29.3
CEFO,32.2
CEFP,31.5
CEFQ,28.3
CEFR,30.6
CEFS,36.2
CEFT,31.7
CEFU,28.4
CEFV,28.1
CEFW,31.6
CEFX,33.2
CEFY,33.7
CEFZ,33.9
CEG,32.2
CEGH,33.4
CEGI,28.5
CEGJ,26.3
CEGK,27.9
CEGL,27.6
CEGM,28.4
CEGN,26.7
CEGO,31.3
CEGP,28.2
CEGQ,24.2
CEGR,27.0
CEGS,29.6
CEGT,26.3
CEGU,26.4
CEGV,25.6
CEGW,28.6
CEGX,28.8
CEGY,31.4
CEGZ,28.3
CEH,40.7
CEHI,33.2
CEHJ,34.0
CEHK,33.5
CEHL,35.1
CEHM,35.4
CEHN,34.1
CEHO,39.4
CEHP,34.5
CEHQ,29.9
CEHR,32.5
CEHS,34.1
CEHT,34.0
CEHU,35.5
CEHV,29.8
CEHW,37.0
CEHX,32.1
CEHY,40.4
CEHZ,35.8
CEI,37.4
CEII,28.6
CEIJ,28.8
CEIK,27.7
CEIL,30.4
CEIM,34.8
CEIN,29.1
CEIO,30.4
CEIP,32.4
CEIQ,26.7
CEIR,29.3
CEIS,31.3
CEIT,30.0
CEIU,29.2
CEIV,27.8
CEIW,31.6
CEIX,28.1
CEIY,31.7
CEIZ,30.1
CEJ,34.1
CEJK,31.5
CEJL,29.2
CEJM,31.1
CEJN,28.8
CEJO,33.5
CEJP,32.3
CEJQ,27.5
CEJR,27.8
CEJS,29.2
CEJT,29.9
CEJU,29.2
CEJV,26.1
CEJW,32.6
CEJX,30.7
CEJY,30.9
CEJZ,28.8
CEK,36.8
CEKL,27.6
CEKM,32.6
CEKN,29.1
CEKO,35.4
CEKP,28.5
CEKQ,29.1
CEKR,30.3
CEKS,32.9
CEKT,30.9
CEKU,27.6
CEKV,28.1
CEKW,31.6
CEKX,31.1
CEKY,32.6
CEKZ,34.5
CEL,33.6
CELM,28.2
CELN,26.3
CELO,30.9
CELP,29.0
CELQ,25.0
CELR,27.3
CELS,33.6
CELT,27.9
CELU,27.1
CELV,27.0
CELW,27.8
CELX,27.6
CELY,32.7
CELZ,28.5
CEM,36.6
CEMN,31.8
CEMO,35.1
CEMP,31.4
CEMQ,27.5
CEMR,31.2
CEMS,36.8
CEMT,30.0
CEMU,30.4
CEMV,27.7
CEMW,32.7
CEMX,31.1
CEMY,32.7
CEMZ,32.0
CEN,33.5
CENN,25.5
CENO,32.6
CENP,30.3
CENQ,25.7
CENR,28.6
CENS,34.8
CENT,28.8
CENU,29.1
CENV,26.1
CENW,29.6
CENX,28.4
CENY,29.7
CENZ,28.2
CEO,37.9
CEOO,32.5
CEOP,36.8
CEOQ,27.2
CEOR,34.1
CEOS,35.5
CEOT,32.9
CEOU,28.2
CEOV,31.1
CEOW,34.2
CEOX,30.2
CEOY,35.3
CEOZ,33.6
CEP,37.4
CEPQ,28.8
CEPR,29.6
CEPS,32.4
CEPT,32.7
CEPU,27.6
CEPV,27.0
CEPW,32.2
CEPX,28.6
CEPY,31.3
CEPZ,28.7
CEQ,30.8
CEQR,25.5
CEQS,29.9
CEQT,26.2
CEQU,27.2
CEQV,24.3
CEQW,27.6
CEQX,27.4
CEQY,28.3
CEQZ,25.9
CER,35.3
CERR,27.1
CERS,33.9
CERT,29.9
CERU,27.8
CERV,27.2
CERW,31.6
CERX,28.5
CERY,30.9
CERZ,29.3
CES,39.7
CESS,32.6
CEST,33.2
CESU,28.7
CESV,30.9
CESW,33.2
CESX,41.2
CESY,36.2
CESZ,33.8
CET,34.7
CETT,26.6
CETU,28.1
CETV,26.6
CETW,29.0
CETX,29.8
CETY,34.2
CETZ,26.4
CEU,34.8
CEUV,27.4
CEUW,29.0
CEUX,28.5
CEUY,31.1
CEUZ,27.7
CEV,32.0
CEVW,28.2
CEVX,30.4
CEVY,30.4
CEVZ,25.5
CEW,36.2
CEWX,31.8
CEWY,31.0
CEWZ,31.6
CEX,36.5
CEXY,35.1
CEXZ,31.7
CEY,39.3
CEYZ,32.2
CEZ,35.0
CF,36.7
CFG,30.7
CFGH,29.1
CFGI,30.2
CFGJ,28.4
CFGK,27.5
CFGL,25.6
CFGM,27.2
CFGN,25.8
CFGO,30.0
CFGP,26.8
CFGQ,25.3
CFGR,26.1
CFGS,32.0
CFGT,26.3
CFGU,27.6
CFGV,23.9
CFGW,28.0
CFGX,30.0
CFGY,29.1
CFGZ,27.0
CFH,37.1
CFHI,32.9
CFHJ,31.6
CFHK,32.4
CFHL,30.6
CFHM,34.3
CFHN,31.6
CFHO,34.6
CFHP,30.4
CFHQ,28.0
CFHR,30.7
CFHS,32.8
CFHT,31.7
CFHU,31.4
CFHV,28.5
CFHW,35.7
CFHX,31.3
CFHY,35.6
CFHZ,31.3
CFI,35.6
CFII,28.2
CFIJ,27.5
CFIK,30.1
CFIL,27.8
CFIM,29.6
CFIN,28.4
CFIO,30.7
CFIP,29.3
CFIQ,27.7
CFIR,28.8
CFIS,37.0
CFIT,28.2
CFIU,27.8
CFIV,27.1
CFIW,29.4
CFIX,30.1
CFIY,30.4
CFIZ,32.4
CFJ,32.0
CFJK,31.5
CFJL,27.9
CFJM,29.8
CFJN,25.6
CFJO,31.4
CFJP,27.4
CFJQ,26.4
CFJR,27.0
CFJS,30.5
CFJT,27.6
CFJU,29.2
CFJV,25.2
CFJW,27.8
CFJX,29.6
CFJY,31.8
CFJZ,29.3
CFK,34.2
CFKL,31.5
CFKM,29.0
CFKN,26.7
CFKO,35.0
CFKP,29.4
CFKQ,28.9
CFKR,27.7
CFKS,38.8
CFKT,29.1
CFKU,27.5
CFKV,27.1
CFKW,28.1
CFKX,30.1
CFKY,31.2
CFKZ,29.3
CFL,31.9
CFLM,27.8
CFLN,25.1
CFLO,31.2
CFLP,27.8
CFLQ,26.2
CFLR,26.1
CFLS,34.7
CFLT,26.9
CFLU,26.1
CFLV,25.0
CFLW,29.1
CFLX,30.5
CFLY,27.9
CFLZ,27.6
CFM,34.6
CFMN,27.5
CFMO,31.5
CFMP,30.0
CFMQ,27.7
CFMR,28.6
CFMS,35.2
CFMT,28.3
CFMU,29.2
CFMV,26.8
CFMW,29.1
CFMX,33.4
CFMY,31.0
CFMZ,30.2
CFN,30.9
CFNN,23.6
CFNO,30.3
CFNP,26.5
CFNQ,25.5
CFNR,26.5
CFNS,30.8
CFNT,25.8
CFNU,26.8
CFNV,23.2
CFNW,27.7
CFNX,30.0
CFNY,28.3
CFNZ,28.7
CFO,36.8
CFOO,32.5
CFOP,27.8
CFOQ,28.2
CFOR,29.8
CFOS,37.5
CFOT,31.0
CFOU,31.6
CFOV,29.2
CFOW,31.9
CFOX,33.1
CFOY,35.9
CFOZ,35.5
CFP,32.8
CFPQ,27.6
CFPR,27.0
CFPS,32.0
CFPT,27.9
CFPU,29.6
CFPV,25.5
CFPW,28.0
CFPX,30.9
CFPY,28.3
CFPZ,30.2
CFQ,30.6
CFQR,26.1
CFQS,30.8
CFQT,26.4
CFQU,26.8
CFQV,24.8
CFQW,27.5
CFQX,28.5
CFQY,25.9
CFQZ,28.5
CFR,32.3
CFRR,25.1
CFRS,30.2
CFRT,27.5
CFRU,27.7
CFRV,25.8
CFRW,27.7
CFRX,29.6
CFRY,29.2
CFRZ,30.2
CFS,37.8
CFSS,35.3
CFST,33.0
CFSU,29.7
CFSV,28.6
CFSW,32.8
CFSX,31.9
CFSY,34.3
CFSZ,34.2
CFT,32.4
CFTT,25.3
CFTU,27.5
CFTV,25.0
CFTW,28.9
CFTX,29.2
CFTY,31.2
CFTZ,28.3
CFU,32.1
CFUV,24.7
CFUW,26.4
CFUX,26.5
CFUY,31.0
CFUZ,27.8
CFV,29.9
CFVW,26.3
CFVX,29.7
CFVY,30.1
CFVZ,26.8
CFW,33.4
CFWX,29.0
CFWY,32.0
CFWZ,30.1
CFX,34.1
CFXY,29.0
CFXZ,32.7
CFY,35.9
CFYZ,28.8
CFZ,33.6
CG,33.7
