,12487900,263145
BOOX,21,1
BOOZ,60,2
BOP,4995,138
BOPQ,192,8
BOPR,503,15
BOPS,76,4
BOPT,232,7
BOPU,118,3
BOPV,287,8
BOPW,185,5
BOPX,17,2
BOPY,129,5
BOPZ,93,2
BOQ,11112,349
BOQR,401,19
BOQS,171,6
BOQT,754,25
BOQU,651,23
BOQV,441,18
BOQW,249,7
BOQX,112,4
BOQY,295,8
BOQZ,194,9
BOR,12456,333
BORR,356,13
BORS,44,2
BORT,862,27
BORU,394,16
BORV,370,15
BORW,472,15
BORX,206,7
BORY,422,11
BORZ,285,8
BOS,3837,84
BOST,68,2
BOSU,104,5
BOSV,88,4
BOSY,20,1
BOSZ,57,1
BOT,11851,324
BOTT,108,5
BOTU,578,21
BOTV,574,19
BOTW,195,7
BOTX,160,4
BOTY,376,11
BOTZ,217,6
BOU,9843,273
BOUV,808,26
BOUW,269,8
BOUX,235,4
BOUY,72,2
BOUZ,63,2
BOV,10845,327
BOVW,252,8
BOVX,155,4
BOVY,70,3
BOVZ,223,5
BOW,5466,140
BOWY,164,5
BOWZ,88,2
BOX,2860,74
BOXY,56,1
BOXZ,4,1
BOY,3992,98
BOYZ,177,5
BOZ,3691,97
BP,44774,1196
BPQ,8835,286
BPQR,1237,49
BPQS,240,7
BPQT,1106,45
BPQU,271,9
BPQV,821,32
BPQW,278,11
BPQX,335,10
BPQY,61,1
BPQZ,325,12
BPR,8766,275
BPRR,157,6
BPRS,556,17
BPRT,900,38
BPRU,202,7
BPRV,1009,40
BPRW,360,16
BPRX,335,11
BPRY,95,5
BPRZ,515,16
BPS,2438,69
BPSS,35,1
BPST,253,9
BPSU,42,1
BPSV,154,6
BPSW,152,5
BPSZ,135,3
BPT,9015,283
BPTT,240,12
BPTU,209,7
BPTV,644,27
BPTW,344,10
BPTX,263,10
BPTY,211,7
BPTZ,117,5
BPU,3497,95
BPUV,208,7
BPUW,57,2
BPUX,16,1
BPUZ,69,3
BPV,8414,281
BPVW,522,19
BPVX,119,4
BPVY,132,5
BPVZ,286,14
BPW,3310,102
BPWX,14,2
BPWY,89,2
BPWZ,124,4
BPX,1658,50
BPXY,49,1
BPXZ,43,1
BPY,1681,50
BPYZ,74,1
BPZ,2989,83
BQ,126619,3701
BQR,19431,667
BQRR,754,33
BQRS,560,20
BQRT,2579,104
BQRU,621,26
BQRV,2309,92
BQRW,623,23
BQRX,911,28
BQRY,420,13
BQRZ,1135,39
BQS,6061,168
BQSS,24,1
BQST,760,21
BQSU,59,3
BQSV,504,15
BQSW,240,8
BQSX,148,6
BQSY,48,1
BQSZ,225,8
BQT,20349,696
BQTT,744,28
BQTU,411,15
BQTV,1437,63
BQTW,975,32
BQTX,609,20
BQTY,484,15
BQTZ,1312,51
BQU,8307,248
BQUV,611,21
BQUW,85,4
BQUX,134,7
BQUY,99,4
BQUZ,125,7
BQV,17888,623
BQVW,613,26
BQVX,687,28
BQVY,338,12
BQVZ,1008,38
BQW,6701,218
BQWX,118,4
BQWY,134,6
BQWZ,362,14
BQX,4278,140
BQXY,89,3
BQXZ,542,18
BQY,4198,122
BQYZ,27,2
BQZ,9094,268
BR,108688,2904
BRR,8313,274
BRRS,245,7
BRRT,1353,47
BRRU,501,17
BRRV,602,25
BRRW,644,20
BRRX,412,13
BRRY,220,6
BRRZ,729,30
BRS,6085,155
BRSS,136,4
BRST,1001,26
BRSU,12,1
BRSV,643,25
BRSW,293,8
BRSX,75,3
BRSY,78,3
BRSZ,255,8
BRT,19678,631
BRTT,892,39
BRTU,584,23
BRTV,1853,73
BRTW,603,25
BRTX,693,23
BRTY,293,13
BRTZ,1038,36
BRU,9724,282
BRUV,589,26
BRUW,133,5
BRUX,111,3
BRUY,126,4
BRUZ,312,10
BRV,18137,616
BRVW,581,29
BRVX,620,20
BRVY,695,19
BRVZ,973,40
BRW,8443,261
BRWX,191,6
BRWY,253,7
BRWZ,633,17
BRX,5164,157
BRXY,134,4
BRXZ,528,16
BRY,5393,153
BRYZ,199,4
BRZ,7201,227
BS,36522,835
BSS,1169,28
BSST,17,1
BSSU,11,1
BSSV,53,2
BSSW,50,1
BSSX,51,1
BSSY,68,1
BSSZ,97,3
BST,5226,140
BSTT,397,11
BSTU,164,5
BSTV,487,19
BSTW,5,1
BSTX,270,9
BSTY,21,1
BSTZ,344,9
BSU,2180,55
BSUV,101,5
BSUW,71,2
BSUX,76,2
BSUY,5,1
BSV,4781,137
BSVW,158,6
BSVX,81,3
BSVZ,106,4
BSW,1987,56
BSWX,165,5
BSWY,90,2
BSWZ,70,2
BSX,1407,34
BSXZ,116,3
BSY,1013,25
BSYZ,49,1
BSZ,2343,58
BT,112867,3070
BTT,9512,309
BTTU,513,16
BTTV,639,29
BTTW,499,20
BTTX,210,8
BTTY,228,6
BTTZ,433,12
BTU,9855,283
BTUV,653,23
BTUW,272,9
BTUX,97,3
BTUY,196,4
BTUZ,249,9
BTV,17221,575
BTVW,738,26
BTVX,617,24
BTVY,332,15
BTVZ,900,35
BTW,7816,220
BTWX,255,8
BTWY,138,7
BTWZ,222,7
BTX,4478,133
BTXY,42,2
BTXZ,284,9
BTY,5140,136
BTYZ,129,4
BTZ,6884,221
BU,66743,1764
BUV,9280,327
BUVW,257,10
BUVX,102,4
BUVY,174,7
BUVZ,388,14
BUW,3751,106
BUWY,149,5
BUWZ,155,5
BUX,1971,58
BUXY,22,1
BUXZ,32,1
BUY,2814,71
BUYZ,93,4
BUZ,3004,103
BV,93652,2775
BVW,6325,202
BVWX,503,15
BVWY,119,4
BVWZ,576,21
BVX,4023,114
BVXY,95,3
BVXZ,362,10
BVY,4223,123
BVYZ,262,8
BVZ,7253,220
BW,38799,1020
BWX,1710,49
BWXY,42,2
BWXZ,164,5
BWY,2948,72
BWYZ,66,3
BWZ,3008,91
BX,25096,640
BXY,1447,35
BXZ,1820,54
BY,27540,664
BYZ,1892,48
BZ,37478,966
C,482409,11319
CD,59386,1633
CDE,8263,227
CDEE,305,11
CDEF,139,5
CDEG,491,15
CDEH,130,4
CDEI,580,19
CDEJ,337,11
CDEK,136,3
CDEL,322,11
CDEM,154,4
CDEN,801,26
CDEO,393,11
CDEP,33,1
CDEQ,472,16
CDER,842,22
CDES,99,5
CDET,648,21
CDEU,314,11
CDEV,596,20
CDEW,172,5
CDEX,245,6
CDEY,197,6
CDEZ,214,10
CDF,4821,148
CDFG,203,8
CDFH,129,3
CDFI,211,6
CDFJ,211,8
CDFK,296,11
CDFL,439,15
CDFM,175,6
CDFN,830,30
CDFO,171,5
CDFP,251,10
CDFQ,706,24
CDFR,733,30
CDFS,331,9
CDFT,564,21
CDFU,107,5
CDFV,595,26
CDFW,283,11
CDFX,174,7
CDFY,124,3
CDFZ,204,6
CDG,8120,282
CDGH,240,7
CDGI,317,14
CDGJ,336,17
CDGK,263,10
CDGL,821,34
CDGM,326,11
CDGN,1613,66
CDGO,199,8
CDGP,446,18
CDGQ,693,30
CDGR,1283,61
CDGS,352,12
CDGT,1006,40
CDGU,233,11
CDGV,863,44
CDGW,425,16
CDGX,226,8
CDGY,137,5
CDGZ,491,17
CDH,3133,76
CDHI,237,7
CDHJ,165,6
CDHK,170,7
CDHL,318,8
CDHM,118,4
CDHN,373,13
CDHO,110,5
CDHP,116,3
CDHQ,477,15
CDHR,483,17
CDHS,29,1
CDHT,252,7
CDHU,119,3
CDHV,213,7
CDHW,269,8
CDHY,73,2
CDHZ,231,6
CDI,13016,360
CDII,324,12
CDIJ,223,9
CDIK,187,6
CDIL,510,18
CDIM,175,8
CDIN,862,32
CDIO,262,9
CDIP,187,7
CDIQ,986,33
CDIR,793,31
CDIS,95,3
CDIT,631,20
CDIU,274,13
CDIV,698,29
CDIW,392,13
CDIX,239,8
CDIY,154,4
CDIZ,196,9
CDJ,6571,216
CDJK,192,9
CDJL,604,23
CDJM,237,10
CDJN,1355,54
CDJO,253,8
CDJP,154,6
CDJQ,911,33
CDJR,679,29
CDJS,287,11
CDJT,776,31
CDJU,216,7
CDJV,793,29
CDJW,693,22
CDJX,341,9
CDJY,129,3
CDJZ,365,13
CDK,3980,115
CDKL,472,14
CDKM,291,9
CDKN,836,24
CDKO,133,6
CDKP,293,9
CDKQ,431,18
CDKR,590,17
CDKS,248,7
CDKT,367,16
CDKU,205,7
CDKV,517,19
CDKW,247,9
CDKX,110,2
CDKY,31,2
CDKZ,184,8
CDL,8058,265
CDLM,555,18
CDLN,1727,76
CDLO,125,5
CDLP,252,9
CDLQ,898,37
CDLR,1383,56
CDLS,131,6
CDLT,1203,47
CDLU,359,12
CDLV,1290,51
CDLW,400,14
CDLX,425,16
CDLY,103,4
CDLZ,593,20
CDM,4576,133
CDMN,738,29
CDMO,218,7
CDMP,238,8
CDMQ,268,10
CDMR,896,28
CDMS,228,6
CDMT,762,29
CDMU,69,4
CDMV,549,21
CDMW,122,4
CDMX,247,8
CDMY,141,4
CDMZ,332,12
CDN,16712,557
CDNN,877,42
CDNO,858,27
CDNP,684,28
CDNQ,2142,86
CDNR,2731,105
CDNS,510,14
CDNT,2428,93
CDNU,664,24
CDNV,1813,76
CDNW,858,29
CDNX,742,28
CDNY,466,12
CDNZ,722,27
CDO,5989,164
CDOO,212,10
CDOP,148,5
CDOQ,398,12
CDOR,265,8
CDOS,82,2
CDOT,377,13
CDOU,55,3
CDOV,260,7
CDOW,312,9
CDOX,81,3
CDOY,94,3
CDOZ,42,2
CDP,3984,128
CDPQ,310,14
CDPR,637,19
CDPS,221,7
CDPT,468,22
CDPU,129,7
CDPV,635,24
CDPW,305,11
CDPX,330,11
CDPY,28,1
CDPZ,142,3
CDQ,12988,437
CDQR,1478,56
CDQS,314,12
CDQT,1626,62
CDQU,551,22
CDQV,1186,57
CDQW,308,10
CDQX,78,5
CDQY,277,11
CDQZ,549,21
CDR,13088,414
CDRR,737,32
CDRS,613,19
CDRT,1455,63
CDRU,789,29
CDRV,1155,53
CDRW,557,21
CDRX,269,10
CDRY,139,6
CDRZ,1129,34
CDS,4050,106
CDSS,75,2
CDST,588,18
CDSU,76,3
CDSV,316,11
CDSW,220,5
CDSY,16,1
CDSZ,120,4
CDT,13064,425
CDTT,496,20
CDTU,319,11
CDTV,1649,60
CDTW,645,21
CDTX,406,13
CDTY,310,10
CDTZ,470,16
CDU,6011,186
CDUV,380,18
CDUW,124,4
CDUX,49,2
CDUY,158,6
CDUZ,110,4
CDV,11352,395
CDVW,342,16
CDVX,597,17
CDVY,246,9
CDVZ,485,19
CDW,4350,138
CDWX,364,8
CDWY,66,2
CDWZ,185,8
CDX,2957,94
CDXY,114,4
CDXZ,102,6
CDY,2504,74
CDYZ,206,8
CDZ,4870,131
CE,152168,3804
CEE,22849,637
CEEE,354,16
CEEF,346,8
CEEG,545,20
CEEH,184,5
CEEI,1108,39
CEEJ,541,19
CEEK,107,3
CEEL,760,26
CEEM,266,9
CEEN,834,28
CEEO,977,33
CEEP,297,10
CEEQ,1083,39
CEER,1110,34
CEES,269,8
CEET,828,24
CEEU,756,27
CEEV,908,29
CEEW,330,9
CEEX,293,10
CEEY,319,9
CEEZ,182,10
CEF,8863,243
CEFG,313,11
CEFH,49,2
CEFI,282,7
CEFJ,120,4
CEFK,136,5
CEFL,263,9
CEFM,131,5
CEFN,955,33
CEFO,633,18
CEFP,133,5
CEFQ,686,24
CEFR,433,12
CEFS,63,1
CEFT,362,11
CEFU,301,10
CEFV,462,16
CEFW,393,13
CEFX,143,3
CEFY,68,2
CEFZ,343,8
CEG,15055,459
CEGH,237,7
CEGI,783,29
CEGJ,653,26
CEGK,145,5
CEGL,577,21
CEGM,213,9
CEGN,1112,41
CEGO,590,20
CEGP,166,9
CEGQ,781,31
CEGR,907,31
CEGS,373,10
CEGT,919,33
CEGU,649,26
CEGV,861,32
CEGW,401,14
CEGX,249,8
CEGY,281,10
CEGZ,479,16
CEH,4760,115
CEHI,148,3
CEHJ,175,6
CEHK,245,8
CEHL,79,3
CEHM,214,6
CEHN,328,9
CEHO,253,8
CEHP,13,1
CEHQ,101,3
CEHR,351,10
CEHS,64,1
CEHT,242,8
CEHU,259,8
CEHV,284,11
CEHW,147,4
CEHX,24,1
CEHY,60,2
CEHZ,45,1
CEI,34493,920
CEII,1255,46
CEIJ,776,26
CEIK,399,16
CEIL,834,27
CEIM,510,19
CEIN,1392,48
CEIO,1367,44
CEIP,311,13
CEIQ,1887,69
CEIR,1213,36
CEIS,155,6
CEIT,1431,42
CEIU,1264,42
CEIV,1405,51
CEIW,690,23
CEIX,164,7
CEIY,272,7
CEIZ,417,17
CEJ,12629,368
CEJK,204,5
CEJL,523,16
CEJM,93,4
CEJN,828,36
CEJO,490,13
CEJP,132,4
CEJQ,678,23
CEJR,486,21
CEJS,94,5
CEJT,465,21
CEJU,251,9
CEJV,844,31
CEJW,286,8
CEJX,86,3
CEJY,314,11
CEJZ,329,9
CEK,6750,184
CEKL,135,7
CEKM,252,6
CEKN,633,19
CEKO,300,9
CEKP,92,4
CEKQ,398,14
CEKR,554,17
CEKS,137,4
CEKT,323,10
CEKU,368,10
CEKV,446,13
CEKW,179,5
CEKX,84,3
CEKY,209,5
CEKZ,230,7
CEL,14743,437
CELM,284,12
CELN,1275,52
CELO,406,15
CELP,261,7
CELQ,779,32
CELR,1094,36
CELS,113,3
CELT,680,30
CELU,742,25
CELV,1171,43
CELW,132,5
CELX,183,6
CELY,311,8
CELZ,267,12
CEM,9226,235
CEMN,711,21
CEMO,372,12
CEMP,272,10
CEMQ,495,18
CEMR,613,19
CEMS,189,5
CEMT,453,14
CEMU,328,12
CEMV,458,17
CEMW,211,7
CEMX,78,2
CEMY,188,6
CEMZ,227,7
CEN,27762,804
CENN,957,42
CENO,587,21
CENP,572,16
CENQ,1669,65
CENR,2121,76
CENS,471,11
CENT,1651,55
CENU,1092,40
CENV,1035,43
CENW,589,25
CENX,299,10
CENY,521,13
CENZ,423,16
CEO,22785,598
CEOO,711,21
CEOP,107,3
CEOQ,1253,41
CEOR,1138,33
CEOS,268,5
CEOT,959,36
CEOU,585,23
CEOV,702,24
CEOW,695,21
CEOX,200,6
CEOY,271,8
CEOZ,681,17
CEP,7691,209
CEPQ,587,19
CEPR,439,18
CEPS,93,3
CEPT,327,13
CEPU,234,10
CEPV,420,15
CEPW,340,9
CEPX,35,2
CEPY,110,5
CEPZ,137,4
CEQ,28999,915
CEQR,952,43
CEQS,194,6
CEQT,1188,44
CEQU,1152,42
CEQV,1282,54
CEQW,634,18
CEQX,137,7
CEQY,94,5
CEQZ,425,17
CER,21949,617
CERR,739,27
CERS,193,7
CERT,1424,42
CERU,601,29
CERV,1340,48
CERW,641,19
CERX,574,16
CERY,192,7
CERZ,682,18
CES,5055,125
CESS,16,1
CEST,168,6
CESU,48,2
CESV,147,5
CESW,188,4
CESX,139,3
CESY,103,3
CESZ,46,1
CET,22351,626
CETT,465,22
CETU,449,19
CETV,1388,50
CETW,359,15
CETX,253,9
CETY,425,13
CETZ,454,18
CEU,17692,503
CEUV,915,34
CEUW,331,14
CEUX,308,9
CEUY,132,5
CEUZ,260,7
CEV,18865,590
CEVW,487,18
CEVX,298,14
CEVY,271,10
CEVZ,580,26
CEW,9372,263
CEWX,125,3
CEWY,221,8
CEWZ,358,13
CEX,4852,143
CEXY,101,3
CEXZ,173,4
CEY,6821,176
CEYZ,351,8
CEZ,7968,231
CF,57082,1547
CFG,7489,252
CFGH,111,5
CFGI,353,12
CFGJ,314,14
CFGK,397,14
CFGL,486,20
CFGM,247,8
CFGN,1169,41
CFGO,189,6
CFGP,190,10
CFGQ,722,28
CFGR,800,28
CFGS,182,6
CFGT,662,22
CFGU,164,5
CFGV,527,27
CFGW,468,20
CFGX,339,11
CFGY,161,6
CFGZ,510,17
CFH,2130,60
CFHI,105,3
CFHJ,232,8
CFHK,41,1
CFHL,157,4
CFHM,43,1
CFHN,507,17
CFHO,149,5
CFHP,165,6
CFHQ,327,12
CFHR,303,9
CFHS,44,1
CFHT,437,14
CFHU,39,2
CFHV,394,13
CFHW,34,1
CFHX,225,8
CFHY,73,2
CFHZ,95,3
CFI,10571,273
CFII,378,12
CFIJ,352,14
CFIK,115,4
CFIL,284,11
CFIM,147,5
CFIN,414,16
CFIO,220,7
CFIP,201,7
CFIQ,614,19
CFIR,526,22
CFIS,257,7
CFIT,454,13
CFIU,363,12
CFIV,523,20
CFIW,440,13
CFIX,79,3
CFIY,159,5
CFIZ,296,11
CFJ,5859,181
CFJK,306,10
CFJL,509,16
CFJM,342,11
CFJN,1071,41
CFJO,276,9
CFJP,309,10
CFJQ,493,17
CFJR,886,32
CFJS,257,8
CFJT,738,24
CFJU,88,3
CFJV,651,27
CFJW,242,8
CFJX,283,9
CFJY,267,7
CFJZ,794,24
CFK,3837,114
CFKL,472,12
CFKM,216,5
CFKN,706,29
CFKO,183,6
CFKP,47,3
CFKQ,565,20
CFKR,777,25
CFKS,141,3
CFKT,439,17
CFKU,123,6
CFKV,504,19
CFKW,136,8
CFKX,209,8
CFKY,118,5
CFKZ,203,7
CFL,7160,225
CFLM,323,13
CFLN,1083,43
CFLO,297,9
CFLP,464,15
CFLQ,624,22
CFLR,944,37
CFLS,318,10
CFLT,971,34
CFLU,381,11
CFLV,766,26
CFLW,218,8
CFLX,340,9
CFLY,75,3
CFLZ,525,17
CFM,4216,116
CFMN,635,20
CFMO,93,3
CFMP,330,9
CFMQ,448,15
CFMR,396,14
CFMS,106,4
CFMT,409,18
CFMU,286,9
CFMV,440,17
CFMW,177,6
CFMX,152,6
CFMY,88,3
CFMZ,171,6
CFN,13129,429
CFNN,875,38
CFNO,276,13
CFNP,651,27
CFNQ,1351,54
CFNR,1882,73
CFNS,466,16
CFNT,1762,72
CFNU,417,14
CFNV,1318,64
CFNW,652,24
CFNX,627,18
CFNY,188,7
CFNZ,860,31
CFO,6545,173
CFOO,251,6
CFOP,84,2
CFOQ,476,15
CFOR,283,13
CFOS,101,2
CFOT,308,11
CFOU,143,5
CFOV,558,18
CFOW,221,6
CFOX,47,2
CFOY,103,2
CFOZ,264,7
CFP,3734,111
CFPQ,393,16
CFPR,579,21
CFPS,98,3
CFPT,442,18
CFPU,168,7
CFPV,486,18
CFPW,283,9
CFPX,361,10
CFPY,115,3
CFPZ,267,8
CFQ,10974,356
CFQR,1560,58
CFQS,269,7
CFQT,1154,40
CFQU,396,16
CFQV,1200,52
CFQW,664,23
CFQX,275,12
CFQY,236,9
CFQZ,701,22
CFR,11114,350
CFRR,540,21
CFRS,598,20
CFRT,1542,50
CFRU,435,17
CFRV,1241,48
CFRW,723,28
CFRX,436,13
CFRY,191,6
CFRZ,764,26
CFS,3386,93
CFSS,74,2
CFST,347,12
CFSU,149,4
CFSV,293,11
CFSW,156,4
CFSX,91,3
CFSY,107,2
CFSZ,272,8
CFT,10342,321
CFTT,410,17
CFTU,430,17
CFTV,965,39
CFTW,338,13
CFTX,451,15
CFTY,398,10
CFTZ,499,16
CFU,5208,160
CFUV,394,13
CFUW,196,7
CFUX,79,3
CFUY,94,4
CFUZ,236,8
CFV,9081,323
CFVW,444,16
CFVX,326,11
CFVY,68,2
CFVZ,616,27
CFW,3709,114
CFWX,52,2
CFWY,143,4
CFWZ,106,4
CFX,2180,66
CFXZ,72,3
CFY,2546,68
CFYZ,24,1
CFZ,4302,131
CG,93213,2739
CGH,3230,100
CGHI,187,7
CGHJ,141,6
CGHK,78,4
CGHL,221,8
CGHM,128,4
CGHN,420,16
CGHO,26,1
CGHP,202,5
CGHQ,305,15
CGHR,241,10
CGHT,183,7
CGHU,141,5
CGHV,367,14
CGHW,186,8
CGHX,132,5
CGHY,126,4
CGHZ,267,7
CGI,19707,618
CGII,652,28
CGIJ,438,21
CGIK,118,5
CGIL,500,20
CGIM,211,9
CGIN,1084,48
CGIO,451,18
CGIP,185,8
CGIQ,1301,49
CGIR,668,31
CGIS,100,3
CGIT,860,32
CGIU,661,24
CGIV,455,22
CGIW,288,16
CGIX,400,15
CGIY,266,10
CGIZ,298,13
CGJ,9480,324
CGJK,369,19
CGJL,857,30
CGJM,458,18
CGJN,1786,67
CGJO,491,16
CGJP,346,14
CGJQ,1111,43
CGJR,1813,74
CGJS,300,9
CGJT,1100,40
CGJU,475,16
CGJV,1783,70
CGJW,404,15
CGJX,753,26
CGJY,424,14
CGJZ,918,33
CGK,5688,173
CGKL,755,24
CGKM,305,10
CGKN,936,36
CGKO,280,11
CGKP,405,14
CGKQ,839,33
CGKR,605,22
CGKS,181,5
CGKT,497,20
CGKU,262,8
CGKV,478,19
CGKW,251,10
CGKX,289,9
CGKY,114,3
CGKZ,134,5
CGL,13695,497
CGLM,877,29
CGLN,1630,66
CGLO,439,17
CGLP,531,21
CGLQ,1904,72
CGLR,1505,73
CGLS,216,8
CGLT,1692,64
CGLU,539,18
CGLV,1641,76
CGLW,459,18
CGLX,537,19
CGLY,400,12
CGLZ,1213,44
CGM,6341,207
CGMN,1222,49
CGMO,178,7
CGMP,265,9
CGMQ,587,24
CGMR,851,31
CGMS,266,8
CGMT,997,33
CGMU,299,10
CGMV,905,35
CGMW,161,6
CGMX,156,7
CGMY,156,6
CGMZ,422,14
CGN,24008,834
CGNN,1154,52
CGNO,700,29
CGNP,1086,50
CGNQ,2999,119
CGNR,2528,111
CGNS,732,24
CGNT,3535,150
CGNU,1011,38
CGNV,2410,114
CGNW,1184,41
CGNX,1013,34
CGNY,867,25
CGNZ,1200,59
CGO,10581,329
CGOO,429,14
CGOP,228,8
CGOQ,735,26
CGOR,758,27
CGOS,307,8
CGOT,323,13
CGOU,318,12
CGOV,630,24
CGOW,316,10
CGOX,104,3
CGOY,43,1
CGOZ,84,4
CGP,6070,199
CGPQ,1062,49
CGPR,946,41
CGPS,101,5
CGPT,468,20
CGPU,141,6
CGPV,552,25
CGPW,409,16
CGPX,147,7
CGPY,122,5
CGPZ,301,14
CGQ,22147,778
CGQR,2341,91
CGQS,574,20
CGQT,1690,76
CGQU,596,28
CGQV,2001,93
CGQW,655,28
CGQX,468,17
CGQY,572,22
CGQZ,1258,43
CGR,19810,677
CGRR,1082,48
CGRS,578,18
CGRT,2421,94
CGRU,1049,40
CGRV,2086,90
CGRW,926,32
CGRX,529,19
CGRY,278,10
CGRZ,912,34
CGS,4842,140
CGSS,143,5
CGST,627,18
CGSU,114,3
CGSV,419,17
CGSW,259,11
CGSX,127,5
CGSY,108,3
CGSZ,261,9
CGT,16945,616
CGTT,967,39
CGTU,733,28
CGTV,1620,70
CGTW,1045,30
CGTX,569,22
CGTY,549,15
CGTZ,1082,39
CGU,11588,371
CGUV,682,26
CGUW,181,10
CGUX,222,7
CGUY,231,7
CGUZ,369,11
CGV,15702,568
CGVW,582,25
CGVX,598,24
CGVY,269,13
CGVZ,709,28
CGW,7211,239
CGWX,108,3
CGWY,256,7
CGWZ,195,9
CGX,4604,141
CGXY,112,4
CGXZ,394,12
CGY,4047,120
CGYZ,215,8
CGZ,8016,259
CH,28923,683
CHI,6627,154
CHII,228,9
CHIJ,107,3
CHIK,54,2
CHIL,312,8
CHIM,146,5
CHIN,252,8
CHIO,187,6
CHIP,138,4
CHIQ,264,9
CHIR,283,10
CHIS,22,1
CHIT,248,8
CHIU,215,6
CHIV,214,8
CHIW,226,7
CHIX,144,6
CHIY,120,3
CHIZ,59,2
CHJ,3100,91
CHJK,8,1
CHJL,257,12
CHJM,163,4
CHJN,352,14
CHJO,85,3
CHJP,57,3
CHJQ,391,12
CHJR,362,13
CHJS,228,5
CHJT,408,12
CHJU,73,3
CHJV,524,18
CHJW,88,3
CHJX,43,2
CHJY,108,3
CHJZ,123,4
CHK,1909,44
CHKL,70,3
CHKN,136,7
CHKP,92,3
CHKQ,271,8
CHKR,326,12
CHKS,94,2
CHKT,144,6
CHKU,183,3
CHKV,143,5
CHKW,101,3
CHKX,21,1
CHKY,105,3
CHKZ,38,4
CHL,3652,114
CHLM,320,9
CHLN,734,27
CHLO,198,5
CHLP,186,5
CHLQ,454,16
CHLR,416,18
CHLS,41,1
CHLT,751,26
CHLU,209,7
CHLV,286,13
CHLW,281,8
CHLX,196,6
CHLY,28,1
CHLZ,105,4
CHM,2181,56
CHMN,154,6
CHMO,46,1
CHMP,71,2
CHMQ,364,10
CHMR,346,11
CHMS,92,2
CHMT,75,2
CHMU,117,3
CHMV,177,5
CHMW,86,3
CHMY,85,2
CHN,6923,198
CHNN,309,14
CHNO,311,7
CHNP,208,8
CHNQ,806,32
CHNR,860,34
CHNS,141,5
CHNT,513,16
CHNU,386,12
CHNV,861,29
CHNW,364,11
CHNX,244,8
CHNY,436,14
CHNZ,416,9
CHO,3833,84
CHOO,59,2
CHOQ,91,4
CHOR,147,4
CHOS,31,1
CHOT,272,7
CHOU,100,3
CHOV,153,6
CHOW,57,2
CHOZ,36,1
CHP,1961,46
CHPQ,158,6
CHPR,254,9
CHPS,122,4
CHPT,102,4
CHPU,133,5
CHPV,157,6
CHPW,211,5
CHPZ,25,1
CHQ,4968,152
CHQR,731,20
CHQS,175,8
CHQT,506,18
CHQU,165,5
CHQV,564,24
CHQW,245,8
CHQX,35,3
CHQY,213,8
CHQZ,144,5
CHR,6381,179
CHRR,395,15
CHRS,125,4
CHRT,957,31
CHRU,347,13
CHRV,1164,33
CHRW,368,10
CHRX,170,9
CHRY,277,9
CHRZ,196,7
CHS,1958,41
CHST,132,4
CHSU,24,1
CHSV,64,2
CHSW,35,1
CHSY,71,2
CHSZ,50,1
CHT,5962,156
CHTT,125,4
CHTU,92,2
CHTV,316,13
CHTW,98,5
CHTX,135,4
CHTZ,102,4
CHU,3790,98
CHUV,174,6
CHUW,60,1
CHUX,46,3
CHUY,173,4
CHUZ,71,3
CHV,5043,157
CHVW,208,7
CHVX,196,5
CHVY,79,3
CHVZ,272,9
CHW,1633,52
CHWY,87,2
CHWZ,93,3
CHX,1550,37
CHXY,11,1
CHXZ,27,2
CHY,1202,29
CHZ,2092,56
CI,176553,4702
CII,30558,953
CIII,686,27
CIIJ,965,39
CIIK,625,22
CIIL,847,35
CIIM,285,10
CIIN,1365,53
CIIO,1347,41
CIIP,598,19
CIIQ,2470,98
CIIR,1612,59
CIIS,283,7
CIIT,1078,40
CIIU,1463,54
CIIV,1546,60
CIIW,626,27
CIIX,485,16
CIIY,326,11
CIIZ,586,23
CIJ,16706,511
CIJK,230,9
CIJL,561,22
CIJM,181,7
CIJN,831,32
CIJO,396,15
CIJP,332,10
CIJQ,1107,43
CIJR,920,38
CIJS,216,7
CIJT,487,17
CIJU,488,19
CIJV,394,18
CIJW,138,5
CIJX,308,10
CIJY,475,13
CIJZ,288,11
CIK,8566,235
CIKL,426,16
CIKM,117,4
CIKN,435,17
CIKO,286,9
CIKP,97,4
CIKQ,267,13
CIKR,519,15
CIKS,127,4
CIKT,427,13
CIKU,241,11
CIKV,431,17
CIKW,64,2
CIKX,161,6
CIKY,220,7
CIKZ,331,11
CIL,18876,562
CILM,320,10
CILN,1200,51
CILO,634,25
CILP,336,11
CILQ,893,36
CILR,1581,59
CILS,100,4
CILT,945,39
CILU,651,33
CILV,1007,41
CILW,418,16
CILX,145,6
CILY,164,7
CILZ,640,19
CIM,9942,275
CIMN,614,18
CIMO,289,9
CIMP,420,13
CIMQ,481,15
CIMR,313,11
CIMS,53,3
CIMT,479,17
CIMU,136,8
CIMV,404,13
CIMW,109,4
CIMX,45,3
CIMY,135,5
CIMZ,266,7
CIN,25592,798
CINN,861,40
CINO,869,33
CINP,445,15
CINQ,1790,73
CINR,2114,78
CINS,481,12
CINT,1312,59
CINU,1063,41
CINV,1309,52
CINW,663,22
CINX,265,8
CINY,649,22
CINZ,629,25
CIO,23198,639
CIOO,746,23
CIOP,320,9
CIOQ,1212,48
CIOR,979,34
CIOS,88,3
CIOT,693,25
CIOU,832,32
